id,title,artist,album,thumbnail,popularity,length_seconds,release_year,language_encoded,sentiment_polarity,sentiment_subjectivity,category_encoded,genre_cluster,available_countries,related_videos,pca_emb_0,pca_emb_1,pca_emb_2,pca_emb_3,pca_emb_4,pca_emb_5,pca_emb_6,pca_emb_7,pca_emb_8,pca_emb_9,pca_emb_10,pca_emb_11,pca_emb_12,pca_emb_13,pca_emb_14,pca_emb_15,pca_emb_16,pca_emb_17,pca_emb_18,pca_emb_19,pca_emb_20,pca_emb_21,pca_emb_22,pca_emb_23,pca_emb_24,pca_emb_25,pca_emb_26,pca_emb_27,pca_emb_28,pca_emb_29,pca_emb_30,pca_emb_31,pca_emb_32,pca_emb_33,pca_emb_34,pca_emb_35,pca_emb_36,pca_emb_37,pca_emb_38,pca_emb_39,pca_emb_40,pca_emb_41,pca_emb_42,pca_emb_43,pca_emb_44,pca_emb_45,pca_emb_46,pca_emb_47,pca_emb_48,pca_emb_49,pca_emb_50,pca_emb_51,pca_emb_52,pca_emb_53,pca_emb_54,pca_emb_55,pca_emb_56,pca_emb_57,pca_emb_58,pca_emb_59,pca_emb_60,pca_emb_61,pca_emb_62,pca_emb_63
mkj0tK89e9I,Pubg hi khelunga | Pubg Song | EMIWAY MACHAYENGE | boht hard | Firse machayenge | TS Game Rapper,Tanuj Sanjot,Unknown,https://i.ytimg.com/vi/mkj0tK89e9I/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3k4T1Xfc6H77il-2GD5jp6kEXs6AQ,16.58875450299871,153.0,2019.0,6,-0.3458333333333333,0.4708333333333333,2,1,249,[],0.1245549,0.13513774,0.021536093,0.025321577,0.008570574,0.12022439,-0.17625158,-0.07017059,-0.04712023,-0.17522709,-0.042855706,-0.043864988,-0.0719975,-0.020015085,0.09568283,-0.050823454,-0.04045089,-0.004074004,0.0779276,-0.081871964,0.026809404,-0.03196985,0.031477414,-0.05571637,-0.044510186,-0.07890906,-0.026203398,-0.100102544,0.039987955,0.02585676,0.0076550315,0.093321525,0.090092376,-0.020334216,0.036617607,-0.0069002905,-0.06557016,-0.02211616,-0.054710567,-0.043723475,0.043544542,0.0005302629,0.020996528,-0.03188602,0.00691476,0.0024517458,0.031084247,-0.007707218,0.04969567,-0.00035134127,-0.019048603,-0.04824899,0.07526455,0.06361323,-0.0570991,0.10701508,0.076233625,-0.02682064,0.02021483,0.006784973,0.16284753,0.08077605,-0.10043774,0.040976938
OMwffU8s14E,Rap Ka Mausam,RAGA,Unknown,https://i.ytimg.com/vi/OMwffU8s14E/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3moHAnUDsfNZFnz5clxoML-PWN_8g,16.334098729667627,151.0,2019.0,14,0.0,0.0,2,5,248,[],-0.08544111,0.048389345,0.061915234,-0.15526724,0.11224231,0.036219917,-0.061463147,-0.07449154,-0.112872906,0.066348955,0.080642365,-0.03182311,-0.019896222,0.028057849,-0.011229682,-0.02673162,0.025476629,0.022594664,-0.16984668,0.030879248,0.060316958,0.06003745,0.006876411,0.03970366,-0.026049128,-0.039522342,0.04974673,0.015839987,0.016062412,-0.010277295,0.0018748654,0.04793346,0.045668773,-0.080790065,-0.058220472,-0.025751308,-0.056407012,0.04067375,-0.008357793,-0.02204047,-0.002847005,0.04399037,0.032387707,-0.015352351,0.019109257,-0.025258915,0.03371989,-0.014655061,-0.038542613,0.082411736,0.026403714,0.012656868,0.0015931857,0.03930392,-0.1008274,0.077173285,-0.013263583,-0.014550064,-0.013339715,0.00558903,-0.00850727,0.0047238064,0.015936332,-0.033690717
5Xxvs_itUSk,KARMA - 1 Se 23 | Mic Check - Season 1 | Episode 7 | AK Projekts,Kalamkaar,Unknown,https://i.ytimg.com/vi/5Xxvs_itUSk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lTPLVVDNFl4m5pjtUIEYW1t76hJg,16.88151138897176,188.0,2019.0,6,0.0,0.0,2,1,249,[],0.12269018,0.04954439,0.051929202,0.06825072,-0.03012769,0.042074557,-0.19106738,0.012422293,-0.014987293,-0.025935102,0.04393688,-0.029954115,-0.025796244,0.0069450806,0.16720058,-0.040239587,0.1261778,-0.101491734,-0.07557987,-0.07923784,0.10760574,-0.09814464,0.004478371,-0.053976387,-0.0004183217,0.035871077,-0.025024632,0.022177195,-0.06790846,0.07318499,0.011594341,-0.013059171,0.13393159,0.015605752,-0.004482308,0.08213522,0.047206808,0.050215855,-0.03620251,-0.018496305,-0.019145174,-0.026815781,0.048471946,-0.01446437,-0.07453108,0.056156702,0.00040215143,-0.019656317,-0.038084637,0.019630324,0.019951645,0.03236382,0.013923778,0.10937119,-0.09287177,-0.02806307,-0.15837519,-0.051312577,-0.10860533,0.058098573,-0.026758557,-0.08289408,0.02089958,-0.007751261
QzGlJvHqRbw,Shot Deke Gayab,Harrlin,Unknown,https://i.ytimg.com/vi/QzGlJvHqRbw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nQU5yQjmgLZ9OrDG79QpNcHELFGA,16.56971698126384,227.0,2019.0,14,0.0,0.0,2,2,249,[],-0.08400683,-0.14099003,-0.1489111,0.09732892,0.17770432,-0.07070245,0.01834589,-0.060253907,0.018092863,-0.13915956,-0.057546724,0.108318426,-0.030242557,0.015140666,0.25162047,-0.017157432,-0.020796226,0.0025256467,-0.026430491,0.03719832,0.036320206,0.04629399,0.033702426,0.03933429,0.053197756,-0.07128534,-0.07787977,-0.026944267,0.026438927,-0.13822366,-0.011920961,0.034841016,-0.0073826816,0.008463928,0.028210895,0.05376452,0.021292336,0.054269828,-0.0757139,0.0066516777,-0.04783053,-0.1111579,0.0020595451,0.023819964,-0.08374837,-0.008177627,-0.10268868,-0.011486713,-0.037850905,0.015783561,-0.10905622,0.030388733,0.02231867,0.011346205,-0.06864869,-0.05841635,-0.024320144,0.006388567,0.09212293,-0.06727189,-0.009482907,-0.1027282,-0.052056856,-0.027820734
Ap1JfdawpVA,PAPA RAP SONG - SAEMY | TERA ABBU KA LUNGI ME | KELA MILEGA JHAMELA MILEGA,DC Christiano films,Unknown,https://i.ytimg.com/vi/Ap1JfdawpVA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3n3HzcFkIAsCb_mbK4z5RnRzeZ7vg,18.5250051910765,205.0,2020.0,5,0.0,0.0,2,13,249,[],0.22857681,0.20267804,0.08857596,-0.098106995,-0.003614189,-0.06022233,-0.023815518,-0.043909166,-0.06617983,-0.004008098,0.14605741,-0.080990806,-0.07113764,0.052971736,0.021458315,-0.100220814,-0.08078341,0.034172323,-0.07630959,-0.13026132,0.0025139078,0.069049366,0.0875832,0.0124708,-0.011258992,-0.03340505,0.10126577,0.10096164,-0.04432057,0.047390815,-0.075942405,-0.06071792,0.051836178,-0.100732066,0.097814284,-0.0577384,-0.102125116,0.067869484,-0.01972862,-0.014730409,-0.032443654,0.010076063,-0.0049062227,-0.011896956,-0.07463316,0.02011616,-0.005630542,-0.07917381,-0.032270316,0.078931585,-0.042830493,-0.111146145,-0.06906383,0.037179448,-0.08520456,0.04565864,-0.0040955604,0.098681904,0.052027326,-0.013025136,-0.03245449,-0.11610704,-0.032335628,0.013782567
3beb3HXqCms,Nanchaku,MC STAN,Unknown,https://i.ytimg.com/vi/3beb3HXqCms/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mnXXiVt7Bflt4oZMqfMhq89E3ffw,17.420949895992866,198.0,2021.0,26,0.0,0.0,2,2,249,[],-0.1447871,-0.07819712,-0.13938648,0.09910394,0.14604075,0.05691369,-0.17091833,-0.03183892,-0.034928285,-0.01836079,0.05025083,-0.009027642,-0.038622677,-0.11510972,0.020061161,0.052067846,-0.17163539,0.0048635057,-0.02809925,-0.030702846,-0.058653202,-0.13370323,0.04488093,0.0197071,-0.058602363,0.019912949,-0.15546219,0.0072097187,0.04040467,0.042161413,-0.023960244,-0.015168731,0.023918787,-0.060309727,0.007726756,0.03993563,0.013854528,0.062400885,-0.052332792,0.10524759,0.035385404,0.14452109,0.009964562,0.0361336,0.04353476,0.04548138,0.050417557,0.020871034,-0.07746496,-0.07967875,-0.059423026,0.020516073,0.09310386,-0.0184157,0.06113094,-0.014992375,-0.008858701,-0.074812956,-0.045370042,0.0035671717,-0.11855411,0.018575454,-0.049892474,-0.0008780051
7AOgclMWjG0,Don't Forgive Me (feat. DIVINE),Shah RuLe,Unknown,https://i.ytimg.com/vi/7AOgclMWjG0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nMtbVN269PAuRML1qMk1C_YME9qw,14.28449178973979,219.0,2021.0,6,0.0,0.0,2,1,249,[],0.0029291338,0.2076594,-0.05647216,-0.025125556,-0.052932978,0.049012724,0.20983207,-0.048456922,-0.05816856,0.04637889,0.107722126,0.0058643473,0.006337715,0.08458064,0.005666916,0.01908412,-0.027880162,-0.046018533,0.008097589,-0.007671052,0.0050076046,-0.01451899,-0.014112067,-0.014936532,-0.08664046,0.017256998,0.015499157,-0.012184841,-0.11068663,0.090579264,-0.019586274,-0.0030004266,-0.054923847,-0.1466742,-0.00011946104,0.0951506,0.02951565,0.0067859394,0.007162541,0.012823843,-0.055989742,-0.0001492588,0.05130191,-0.07608327,0.012418271,-0.035365444,-0.014281322,-0.024530403,0.057844527,-0.072662845,0.016800446,0.011994363,0.057300005,0.038106,-0.00565742,-0.035163563,-0.11698604,-0.040198524,-0.045032315,-0.011349387,-0.006251828,-0.06064063,-0.13301553,0.047417227
tq0Ml-Z3kP0,Awaam (feat. Mooroo),Faris Shafi,Unknown,https://i.ytimg.com/vi/tq0Ml-Z3kP0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3n_dqjHnePOnh77r2El7FzmAyu6VQ,15.059031233459931,390.0,2012.0,18,0.0,0.0,2,1,249,[],-0.021430751,0.1727113,-0.08634959,-0.01879795,-0.010667639,0.06502553,0.12309067,-0.09507065,-0.105714515,-0.117045596,0.049665682,-0.083852224,0.18021329,-0.08408114,-0.016538251,-0.060880404,-0.085050344,0.002106455,0.020841185,0.06923927,0.101255566,-0.056905244,-0.08531123,-0.020629883,0.048080992,-0.028097305,0.04103307,0.03327327,-0.046607945,-0.020937392,0.058325123,-0.05770989,-0.03765448,0.010634321,-0.031991277,-0.028433738,-0.11682188,0.011724576,-0.03331344,0.09283197,0.062467653,-0.0004073135,-0.001775574,-0.047237024,0.030329488,0.07613013,-0.0486615,0.035668645,0.019222286,0.013007506,-0.08335988,-0.010400122,0.04414019,-0.026568593,0.010412684,-0.015209313,-0.044489678,-0.024602894,0.027248751,7.377655e-05,0.046055406,0.014722337,-0.0015286207,-0.025010271
r5Ak4KY8-cs,Introduction,Faris Shafi,Unknown,https://i.ytimg.com/vi/r5Ak4KY8-cs/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kKLtbHP9dNOjBEI4kMk4bueEKM-w,17.439045005818922,130.0,2021.0,6,0.0,0.0,2,14,249,[],-0.16969983,-0.1532413,-0.015613634,0.020307446,-0.110564925,0.013953854,0.14531872,-0.021006372,-0.072928295,-0.13738869,-0.082300976,-0.040578794,0.22122025,-0.08028326,0.07733477,-0.07096925,-0.028523136,-0.047002394,-0.06687037,0.0064496608,0.08167314,-0.14707036,-0.095070824,-0.010385179,-0.022956334,-0.006187696,0.05790082,0.059120245,-0.032027107,-0.014272225,0.09065293,-0.047339547,-0.026507959,0.0089773135,-0.0033028573,-0.0013162867,-0.10912311,-0.04872125,-0.01283708,0.041317888,0.07278811,-0.0048835073,-0.0048652,-0.083534084,0.09403772,-0.023930006,-0.017119065,0.073021084,-0.00062958786,0.018333897,-0.03676209,0.07122515,0.021419749,0.059615083,-0.015643215,-0.013417568,0.026722498,-0.010969031,-0.004503952,-0.065030955,0.012849073,-0.022124013,0.003882617,-0.010768001
BSJa1UytM8w,Saiyaara Title Song,Faheem Abdullah,Unknown,https://i.ytimg.com/vi/BSJa1UytM8w/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lKMJMKEbhsO96rxI_E14odF-IlcQ,20.144967608716012,248.0,2025.0,27,0.0,0.0,2,1,249,[],-0.12112999,0.16165271,0.025516069,-0.040111743,0.11576771,-0.087050214,0.044473942,-0.047580276,-0.10357902,-0.0025304556,0.1583649,-0.04320267,0.018569142,-0.023389794,-0.102446996,-0.07601399,-0.17890069,0.07574729,0.05771078,0.025443306,0.01938547,-0.0015358545,-0.011900137,0.013632226,0.13180728,0.05545862,-0.018912517,0.027208207,0.033403367,0.052444875,-0.073811494,-0.078254476,-0.061022427,0.021731514,-0.06850611,-0.006459526,-0.03145496,0.08882828,0.013610909,0.036186717,-0.025380896,0.007978682,-0.07609365,0.0315034,-0.11793416,0.072870016,0.052690808,0.007335453,0.028400097,-0.027265172,-0.051445924,0.05906688,-0.099310964,-0.034899104,0.037485853,-0.04160518,0.035745792,-0.014886595,0.027078202,-0.08995541,0.0073692305,0.08970985,0.05311904,0.03631872
